Album	Artist
SOURCE	Nubya Garcia
Suite for Max Brown	Jeff Parker
Trust in the Lifeforce of the Deep Mystery	The Comet Is Coming
From the Stairwell	The Kilimanjaro Darkjazz Ensemble
Chet Is Back!	Chet Baker
Sun Bear Concerts	Keith Jarrett
Jaco Pastorius	Jaco Pastorius
Thrust	Herbie Hancock
The Mourning of a Star	Keith Jarrett
Thembi	Pharoah Sanders
Red Clay	Freddie Hubbard
El sonido nuevo	Cal Tjader & Eddie Palmieri
Adam's Apple	Wayne Shorter
Duke Ellington & John Coltrane	Duke Ellington & John Coltrane
Midnight Blue	Kenny Burrell
Monk's Dream	Thelonious Monk
Tijuana Moods	Charles Mingus
Jazz Samba	Stan Getz & Charlie Byrd
Sunday at the Village Vanguard	Bill Evans Trio
The Blues and the Abstract Truth	Oliver Nelson
Mingus Ah Um	Charles Mingus
Giant Steps	John Coltrane
'Round About Midnight	Miles Davis
Pithecanthropus Erectus	Charles Mingus
West Coast Jazz	Stan Getz
Diz and Getz	Dizzy Gillespie and Stan Getz
The Best of Django Reinhardt	Django Reinhardt
The Magnificent Charlie Parker	Charlie Parker
Hot Fives and Sevens	Louis Armstrong
