Album	Artist
SOURCE	Nubya Garcia
Suite for Max Brown	Jeff Parker
Trust in the Lifeforce of the Deep Mystery	The Comet Is Coming
Heaven and Earth	Kamasi Washington
The Return	Kamaal Williams
Piano Nights	Bohren & der Club of Gore
From the Stairwell	The Kilimanjaro Darkjazz Ensemble
Chet Is Back!	Chet Baker
Sun Bear Concerts	Keith Jarrett
Jaco Pastorius	Jaco Pastorius
Thrust	Herbie Hancock
Get Up With It	Miles Davis
The Mourning of a Star	Keith Jarrett
Thembi	Pharoah Sanders
Journey in Satchidananda	Alice Coltrane
Red Clay	Freddie Hubbard
El sonido nuevo	Cal Tjader & Eddie Palmieri
Jazz Raga	Gábor Szabó
Adam's Apple	Wayne Shorter
A Love Supreme	John Coltrane
Duke Ellington & John Coltrane	Duke Ellington & John Coltrane
Money Jungle	Duke Ellington, Charles Mingus, Max Roach
Midnight Blue	Kenny Burrell
Monk's Dream	Thelonious Monk
Tijuana Moods	Charles Mingus
Jazz Samba	Stan Getz & Charlie Byrd
Waltz for Debby	Bill Evans Trio
Sunday at the Village Vanguard	Bill Evans Trio
My Favorite Things	John Coltrane
The Blues and the Abstract Truth	Oliver Nelson
Mingus Ah Um	Charles Mingus
Giant Steps	John Coltrane
Thelonious Alone in San Francisco	Thelonious Monk
Somethin' Else	Cannonball Adderley
Ascenseur pour l'échafaud	Miles Davis
Blue Train	John Coltrane
'Round About Midnight	Miles Davis
Pithecanthropus Erectus	Charles Mingus
West Coast Jazz	Stan Getz
Diz and Getz	Dizzy Gillespie and Stan Getz
The Best of Django Reinhardt	Django Reinhardt
The Magnificent Charlie Parker	Charlie Parker
Hot Fives and Sevens	Louis Armstrong
